Pattern ID,Pattern / Signature Name,Signature Type,Category Tags,Cluster ID,Lay Summary,Clinical Teaching Note,Usefulness / Clinical Significance,Usefulness Rating,Requires Context?,Context Types (42-factor taxonomy),Diagnosis Context,Interpretive Adjustment (by Dx),Rule Definition (1-line),Detection Rule (Structured),Analysis Window,Validation Window,Post-Event Windows to Evaluate,Min Days of Data Required,Min Days Meeting Rule (Recurrence),Confidence Basis,Signature Confidence,Clinical Action Tier,Expected Action Tags,Section
1,Predominant Hyperglycemia,Physiologic,macro,Macro Control,Overall elevated glucose with frequent time-above-range.,*Prioritize optimization before fine-tuning.*,Correlates with higher A1C and complications; guides therapy escalation.,,None,Meals; Med adherence,T2DM/General,Lower targets in pregnancy/preDM,TAR >30% on ≥40% of days,input=CGM; metric=TAR>180; cond=>30%; repeat=GEQ40PCT,7d,14d,All day,≥7,≥40% days,AGP/TIR consensus,High,Control,Med; Nutrition,1-Macro
2,Predominant Hypoglycemia,Physiologic,macro,Macro Safety,Frequent/prolonged lows across days.,*Fix safety before control.*,Indicates overtreatment or timing mismatch; risk of severe events.,,None,Meds; Dosing,T2DM/General,Stricter in pregnancy,TBR<70 ≥4% OR any <54,input=CGM; metric=TBR; cond=GEQ4PCT or ANY_<54; repeat=GEQ40PCT,7d,14d,All day,≥7,≥40% days,ADA time-in-range targets,High,Safety,Med; Education,1-Macro
3,High Glycemic Variability,Physiologic,macro; variability,Variability,Large day-to-day swings/high IQR bands.,*Stabilize patterns before intensifying meds.*,Linked to symptoms and complications; aim to reduce variability.,,None,—,T2DM/General,—,CV ≥36% repeatedly,input=CGM; metric=CV; cond=>=36%; repeat=GEQ40PCT,7d,14d,All day,≥7,≥40% days,AGP CV heuristic,High,Control,Education; Nutrition; Med,1-Macro
4,Stable / Near-Target Control,Physiologic,macro; stability,Macro Stability,Good overall control with narrow AGP bands.,*Reinforce effective routines.*,"Supports maintenance, consider de-intensification if appropriate.",,None,—,T2DM/General,—,TIR ≥70% and CV <36%,"input=CGM; metric=COMBO(TIR,CV); cond=(TIR>=70 & CV<36); repeat=GEQ40PCT",7d,14d,All day,≥7,≥40% days,AGP norms,High,Lifestyle,Education,1-Macro
5,Overnight Hypoglycemia (00:00–06:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Lows during sleep period.,*Adjust basal/corrections; consider HS snack policy.*,Prevent nocturnal events.,,None ,Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[00:00–06:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[00:00–06:00],≥7,≥40% days,TBR-based heuristic,High,Safety,Med; Education,2-Micro Hypoglycemia
6,Early Morning Hypoglycemia (06:00–08:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Lows shortly after waking.,*Assess dawn correction or missed breakfast.*,Avoid morning impairment.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[06:00–08:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[06:00–08:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
7,Late Morning Hypoglycemia (10:00–12:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Mid-morning lows between meals.,*Add protein/fat in breakfast or adjust meds.*,Supports workday function.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[10:00–12:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[10:00–12:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
8,Afternoon Hypoglycemia (14:00–16:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Afternoon dip potentially from lunch bolus.,*Review ICR/correction biases.*,Reduces afternoon lows.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[14:00–16:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[14:00–16:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
9,Pre‑Dinner Hypoglycemia (17:00–19:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Lows before dinner.,*Avoid late corrections; add snack if needed.*,Prevents rebound eating.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[17:00–19:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[17:00–19:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
10,Post‑Dinner Hypoglycemia (19:00–22:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Evening lows after dinner.,*Check over-bolus/late activity.*,Reduce evening risk.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[19:00–22:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[19:00–22:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
11,Bedtime Low (20:00–23:00),Physiologic,micro; safety,Time-of-Day Hypoglycemia,Lows in hours before sleep.,*Avoid stacking; consider HS snack.*,Prevents overnight cascade.,,None (better with logs),Meds; Meals,T2DM/General,—,≥15 minutes <70 mg/dL on recurring days,input=CGM; window=clock[20:00–23:00]; metric=TIME_<70; cond=>=15min; repeat=GEQ40PCT,7d,14d,[20:00–23:00],≥7,≥40% days,TBR-based heuristic,Medium,Safety,Med; Education,2-Micro Hypoglycemia
